Mängija,Punktid,Aeg
A,1910,2025-04-22 22:20:34
A,1530,2025-04-22 23:00:11
B,1522,2025-04-22 22:20:34
A,1494,2025-04-22 22:24:59
B,1200,2025-04-22 22:24:59
B,1150,2025-04-22 23:00:11
TestTeam,331,2025-05-07 01:19:54
TestTeam,152,2025-05-07 10:21:46
r,110,2025-05-07 11:06:13
TestTeam,103,2025-05-07 02:00:48
TestTeam,100,2025-05-06 23:39:46
TestTeam,100,2025-05-06 23:40:18
TestTeam,100,2025-05-06 23:40:25
TestTeam,100,2025-05-07 00:39:10
TestTeam,100,2025-05-07 00:39:17
TestTeam,100,2025-05-07 00:40:44
TestTeam,100,2025-05-07 00:47:04
TestTeam,100,2025-05-07 00:47:12
TestTeam,100,2025-05-07 00:49:35
TestTeam,100,2025-05-07 02:01:25
TestTeam,100,2025-05-07 02:02:24
TestTeam,100,2025-05-07 10:13:32
TestTeam,100,2025-05-07 10:13:47
TestTeam,100,2025-05-07 10:13:52
TestTeam,100,2025-05-07 19:36:55
TestTeam,100,2025-05-07 22:50:00
TestMängija,100,2025-05-08 00:29:29
e,74,2025-05-07 11:00:35
e,74,2025-05-07 11:00:47
c,50,2025-05-07 11:06:13
d,10,2025-05-07 19:59:34
õ,0,2025-05-06 22:38:25
r,0,2025-05-07 11:00:35
r,0,2025-05-07 11:00:47
